42.92 , 3d:-1.56:8.51:-39.27 : 0:0:0 , 0:39.27 , 0:-8.51 , 0:1.56 , 1:118.21 , 1:13.61 , 1:-10.30 , 2:-7.68 , 2:-0.12 , 2:-0.12 ,
42.94 , 3d:-1.61:8.30:-42.41 : 0:0:0 , 0:42.41 , 0:-8.30 , 0:1.61 , 1:156.83 , 1:8.10 , 1:-5.86 , 2:-9.20 , 2:-0.32 , 2:-0.32 ,
43.00 , 3d:-0.38:7.39:-50.02 : 0:0:0 , 0:50.02 , 0:-7.39 , 0:0.38 , 1:73.14 , 1:-21.01 , 1:-31.78 , 2:-10.26 , 2:1.05 , 2:1.05 ,
43.01 , 3d:-0.00:7.28:-50.75 : 0:0:0 , 0:50.75 , 0:-7.28 , 0:0.00 , 1:53.63 , 1:-17.79 , 1:-27.72 , 2:-9.95 , 2:0.67 , 2:0.67 ,
43.07 , 3d:0.60:5.90:-53.94 : 0:0:0 , 0:53.94 , 0:-5.90 , 0:-0.60 , 1:77.29 , 1:3.50 , 1:-28.12 , 2:-9.58 , 2:0.24 , 2:0.24 ,
43.09 , 3d:1.24:5.53:-55.82 : 0:0:0 , 0:55.82 , 0:-5.53 , 0:-1.24 , 1:80.24 , 1:-28.50 , 1:-32.06 , 2:-10.77 , 2:0.07 , 2:0.07 ,
43.12 , 3d:2.59:5.36:-58.17 : 0:0:0 , 0:58.17 , 0:-5.36 , 0:-2.59 , 1:73.38 , 1:-29.08 , 1:-26.01 , 2:-9.57 , 2:0.10 , 2:0.10 ,
43.14 , 3d:3.24:5.27:-59.51 : 0:0:0 , 0:59.51 , 0:-5.27 , 0:-3.24 , 1:74.47 , 1:-30.82 , 1:-19.97 , 2:-9.38 , 2:-0.21 , 2:-0.21 ,
43.15 , 3d:3.64:5.33:-60.36 : 0:0:0 , 0:60.36 , 0:-5.33 , 0:-3.64 , 1:74.88 , 1:-37.55 , 1:-7.17 , 2:-9.04 , 2:0.26 , 2:0.26 ,
43.17 , 3d:4.32:5.75:-61.83 : 0:0:0 , 0:61.83 , 0:-5.75 , 0:-4.32 , 1:65.83 , 1:-40.57 , 1:5.42 , 2:-10.61 , 2:-0.14 , 2:-0.14 ,
43.18 , 3d:4.65:5.98:-62.50 : 0:0:0 , 0:62.50 , 0:-5.98 , 0:-4.65 , 1:50.62 , 1:-31.84 , 1:3.10 , 2:-11.30 , 2:-0.40 , 2:-0.40 ,
